i theta vel
75 3.6849816868851963 -43.081055460893985
76 0.9744203544985811 -42.12379937747897
77 1.3929526186978214 -41.910098564635604
78 0.2903959497921203 -40.508890598237876
79 0.17058468441048336 -39.91284074168775
80 5.896198494624996 -39.21068282918269
81 5.565826464513783 -38.718669569723716
82 1.4804632415872394 -39.404369066716356
83 4.8468015109155 -38.066860762064
84 4.537075138290014 -37.83035591145602
85 2.6803640677924223 -38.488147903754644
86 5.73658484416931 -36.39195149018149
87 0.7706952874895918 -36.5498973448822
88 5.797381514432246 -35.54018833464855
89 2.289422157780449 -36.73859466975924
90 1.1983460555589613 -35.659374096077485
91 1.5374774947870407 -35.53312247531935
92 0.7733973315209356 -34.52468163364072
93 5.474021255485218 -33.61792263231644
94 2.947679135946675 -34.82676146522182
95 5.544513360424278 -32.87407514729268
96 0.8877852861387762 -33.14772281151872
97 0.7939728039467111 -32.723744276649676
98 3.52139072399798 -33.18104933599249
99 3.178902884578219 -33.02872880495554
100 4.696192983067706 -31.624668769907633
101 3.7263868249462875 -32.07534000114958
102 2.786332477955583 -32.17403378276052
103 4.785882735811711 -30.629578207097126
104 4.754896231362497 -30.353886366753233
105 5.684590830658354 -29.63087547254757
106 5.857301500522919 -29.331562874146965
107 1.1618839591622736 -29.90301635270061
108 4.167029033261594 -29.685801759800523
109 4.450268370952826 -29.183018695881312
110 4.259586120916516 -29.073275288203437
111 5.957490922510002 -27.96962121907974
112 3.970117740791316 -28.789921799106025
113 0.8823562111072669 -28.064126086837785
114 0.2031001198064264 -27.357643217184663
115 0.4411075484576313 -27.244125314379527
116 2.3743826627329323 -28.328144082810645
117 1.4043206901007939 -27.51556953842653
118 1.1755123199404647 -27.091907463055357
119 5.039164092329261 -26.294510766497865
120 0.28825802042294985 -25.98490500475013
121 2.2095273401385462 -27.122893928546354
122 0.7287987364634415 -25.83087105831032
123 1.1176998611047906 -25.92815737672959
124 5.598772984538033 -24.96723828507699
125 2.436342927506424 -26.346006814532565
126 2.949328159300289 -26.1606538876043
127 1.119788847362873 -25.101005394854393
128 0.8944290831433525 -24.716863188695346
129 2.7557748950360414 -25.586659716825014
130 3.6035622725565166 -25.109642334764104
131 3.6182232328192594 -24.913189207261667
132 3.0966338597802143 -24.971777594706847
133 2.6398063212212834 -24.83336152776883
134 6.199982717264851 -23.034938345657515
135 3.019147691388831 -24.452211829415894
136 5.896163189196678 -22.648465079844716
137 2.4920187560015172 -24.10481974068903
138 5.617880188374228 -22.343235623513134
139 3.3786728565607116 -23.644599646390272
140 6.038939374733771 -21.98007819336848
141 5.5958470064735755 -21.85547602010271
142 3.7677632780068584 -22.92948079347708
143 4.897199004016327 -21.89148806641047
144 4.2444249198909585 -22.25140198591738
145 5.778157603918497 -21.19361724023993
146 6.281284894634989 -21.083320875739794
147 3.076933475384407 -22.503533987563415
148 0.27099860997536673 -20.89109277857316
149 5.420206162115332 -20.697234657170426
150 1.5598839301507084 -21.55724212248304
151 0.3935796320920899 -20.52260147400436
152 4.145030643911541 -21.169491186240204
153 1.4831581028185783 -21.073614127426016
154 1.9970708979209049 -21.30431722903994
155 4.150419925821097 -20.76016680228973
156 5.880074899992964 -19.62653425352645
157 2.101259579734546 -20.962798313596927
158 4.727035598671039 -19.904062912030476
159 1.8688166648697053 -20.56462829096289
160 1.0340918310813225 -19.777501165118053
161 0.4080341064379347 -19.20451510159775
162 3.4138568889813232 -20.36798088968696
163 5.48476819495466 -18.831176804270775
164 0.19086682601713809 -18.732067132573505
165 5.840126224551524 -18.509448241518253
166 5.594935403677553 -18.440378281175718
167 0.9748645087015321 -18.88278938994417
168 4.551808885451402 -18.844947261137754
169 0.850125394709005 -18.555359807339908
170 2.6315691075825534 -19.578328430886515
171 5.750178557507436 -17.840918259228456
172 5.8662115127261965 -17.717316626104484
173 0.09626664290938605 -17.67612384449425
174 2.069663577360842 -18.939980499945428
175 4.411503013152716 -18.202861506873464
176 1.659753382165964 -18.45327485154424
177 5.294140109421824 -17.367577086201916
178 2.836163850670962 -18.743097668311364
179 2.600704253338093 -18.624123696287818
180 5.536587814163123 -16.962295230516077
181 5.366819189634306 -16.933772851670213
182 0.25755529810803346 -16.81982733253562
183 5.408567844721783 -16.722191872840412
184 2.52460482822974 -18.12085335307803
185 6.135009112587857 -16.4146261635695
186 3.3328649194337086 -17.86258275419428
187 6.032061970669943 -16.22022205924381
188 0.18196501778839472 -16.224021037156547
189 5.618346265085355 -16.09124661047701
190 5.615315487375817 -16.003183014364375
191 4.222606867329495 -16.83631346216272
192 3.9575060188758684 -16.956719138599556
193 5.244210549772185 -15.901616261658612
194 4.65614456013364 -16.22552492104995
