i R \phi
313 0.03838936943950056 1.1315379809037844
314 0.03785332154789474 1.1696005200591928
315 0.03613434674008136 1.1920258995680242
316 0.03640082331447252 1.2153641609363268
317 0.03635007074052164 1.170627195993021
318 0.03648732998236561 1.2164721453530705
319 0.036160555864429955 1.170669565796557
320 0.0345945752535831 1.1806588340365842
321 0.03427373757139371 1.1668164844102185
322 0.033361888732700455 1.1734373165230312
323 0.032120713228285816 1.2249409159417448
324 0.02997100246271513 1.2157934002119293
325 0.030802668601755734 1.1950198627181496
326 0.03082141181702653 1.209872839211251
327 0.030757444457896514 1.2070581044549644
328 0.030909066928000377 1.2087768464459188
329 0.030303768218448407 1.2018312196907277
330 0.028782154968817576 1.2478703129365742
331 0.02849296838784761 1.2570072699568504
332 0.029575998511971957 1.2910078384094248
333 0.029045443112742746 1.2970925062088619
334 0.02984352961060607 1.2434140513372067
335 0.03005015271776674 1.2299617428606204
336 0.028845972121085826 1.273269225288461
337 0.026600103311730905 1.3182049711335342
338 0.02586724186822807 1.3607953267279052
339 0.026628488223137577 1.353095335418204
340 0.026213513893416873 1.399083545422157
341 0.026539652118063983 1.4564879732849163
342 0.026912007137557956 1.4759372994773394
343 0.027502105261039057 1.4474799598480639
344 0.026973715660819447 1.4976250212265094
345 0.027988817599317165 1.5609530762385035
346 0.028860419735975477 1.5706069239833955
347 0.029104367348721166 1.482313438068256
348 0.02989275618667149 1.4142919053663037
349 0.030121871806832363 1.4356215015368046
350 0.031741139752003183 1.3748129710649197
351 0.031717041526953905 1.3888846822724301
352 0.03280388675246466 1.3711837520128662
353 0.03400581673744294 1.3241243036002046
354 0.03409863248814461 1.3192597786081848
355 0.03429436976855474 1.3134472053836512
356 0.033141768893479195 1.3802333534801492
357 0.03224263167804842 1.4420302850241062
358 0.03170297830661043 1.4729241120679675
359 0.03225066657745567 1.4348317211963824
360 0.03342599347639933 1.402630192527138
361 0.03378342301209927 1.4100411517446125
362 0.03242751821174137 1.4399120961498344
363 0.03252222954524651 1.3409212142599525
364 0.03316417671378117 1.338272962768656
365 0.03508572924219882 1.3337667999221874
366 0.035630485146693695 1.399362945487847
367 0.035632621311598674 1.4112024560677272
368 0.03575551060993576 1.453953235439864
369 0.03667204815506095 1.4562866335613427
370 0.037460200165462844 1.4870136112679515
371 0.037864803017282324 1.5124856422361
372 0.03758722858389657 1.4758011152521473
373 0.037767883257246206 1.4899388927982922
374 0.03833482217469422 1.5379409419130425
375 0.0382596618269075 1.5548547939027044
376 0.0380073559466975 1.5483626899735767
377 0.038195378306364776 1.5158301087745905
378 0.0385703133119931 1.5168950145557554
379 0.038232952460974995 1.513439407419844
380 0.03923717593468037 1.4962503210451856
381 0.04041034582402877 1.4634274995132626
382 0.0418172987088137 1.5095326965684241
383 0.04218587741839563 1.479040794506017
384 0.042138170162693396 1.5179499670307715
385 0.042451955716509816 1.5253955017526588
386 0.042373541891595395 1.4887221212204886
387 0.043011902576019743 1.5144020024617415
388 0.04180663421384435 1.5113232500251912
389 0.041255797809842724 1.494137456944589
390 0.04224645805942973 1.5339684734549879
391 0.043140667412023624 1.529584068599386
392 0.04284992441527009 1.5657071805057536
393 0.0425616983003946 1.5599862644104936
394 0.043675124780210996 1.541662226688602
395 0.0435095675827346 1.5697793723471105
396 0.04283112056057279 1.550470818450177
397 0.04285603122676713 1.546073296954162
398 0.0439489486729724 1.5585772805640803
399 0.04387802579984897 1.5474877212223863
400 0.045217972010920475 1.5591253880854257
401 0.04606336608661466 1.5454131664693258
402 0.04508216033431782 1.5324088956107487
403 0.044864662498052536 1.5401809850411832
404 0.0443993739045639 1.5265876662971865
405 0.04500131010183794 1.5309423157170947
406 0.04446146720382586 1.5477533317702876
407 0.044923677063943644 1.5244186074255222
408 0.044459043803034344 1.4984519902272924
409 0.04389090901025422 1.5136065326594528
410 0.044046112196557394 1.5331606188047195
411 0.044100633665125705 1.5370620063424005
412 0.04471559581708385 1.542408896135695
413 0.04422413749341515 1.519313061618708
414 0.04568464429930445 1.5102780391335469
415 0.045936957291288674 1.4849311477472888
416 0.04626034470830199 1.4714702721609692
417 0.04535597538114602 1.4562103455177946
418 0.04559898578665232 1.414278470088287
419 0.04738417227691225 1.4361421039577769
420 0.04727849340389674 1.3908955716704445
421 0.045881886390045847 1.4414366895707462
422 0.04393712210770255 1.4363141030688549
423 0.04392112525934761 1.3847458281853575
424 0.04295287215571419 1.3786103810046286
425 0.04317322773059265 1.395851947855317
426 0.042728004857721866 1.3443383116928842
427 0.04265327872032889 1.3805231048613382
428 0.04377564526318223 1.3637799518384774
429 0.045193946503847414 1.3598734021252372
430 0.046987989316422264 1.3614485191279142
431 0.046543432562928005 1.3241850349118662
432 0.04743018771271562 1.3314122235454287
433 0.04707863458124284 1.3252037749173131
434 0.048059831644930835 1.3446508191362652
435 0.048528665371116 1.339454440320001
436 0.04805619414992249 1.3557645827227534
437 0.04768742970609796 1.3539943657229336
438 0.04616079540243467 1.336689919478124
439 0.04650343606824351 1.2932305281645724
440 0.04668907391170687 1.2967243824425079
441 0.048322713697555385 1.3089227616492816
442 0.04899081481988513 1.3299719708027204
443 0.05052093089526371 1.3319442254925313
444 0.050382469356783637 1.3382851839759913
445 0.05090878423699984 1.3248607972588267
446 0.05254631991763324 1.3476446003321283
447 0.05235781264744533 1.3293817070156835
448 0.0519448543311842 1.3469379223833948
449 0.051493564028328054 1.3230308814796352
450 0.05228413850778345 1.3012909930471703
451 0.051326888713867605 1.3015004187152304
452 0.052421102558201135 1.3073814843064213
453 0.05342915839600781 1.3323815599948616
454 0.053637873519536555 1.3600665320875562
455 0.05440425425239381 1.3746796294215509
456 0.05505827596703444 1.4050601074945464
457 0.056032454901286534 1.4144567027689816
458 0.05593973336760793 1.3995790475730705
459 0.0581624922201381 1.420525229716768
460 0.057381275650916455 1.4059543924470432
461 0.05650228335549661 1.466784994945258
462 0.05699511363221315 1.4816039876350204
463 0.05700963072273062 1.4705938970039907
464 0.056702893406758575 1.532048588423709
465 0.056055062815035854 1.5510962124667087
466 0.05772981042783152 1.5352200079834684
467 0.05837247504632453 1.5362307865789833
468 0.05889339660431223 1.534170626915514
469 0.05875649929568474 1.5297287097701338
470 0.060273538208442876 1.537972106980092
471 0.06207575781447798 1.528710008005249
472 0.06280933585963508 1.5368579598270153
473 0.06247152577911685 1.5555328230613188
474 0.06223057568491333 1.5600306283156729
475 0.06277407352129491 1.566897152727428
476 0.06163640602441733 1.5669635803412663
477 0.06259035169544931 1.565227108193026
478 0.0627136241486358 1.5534075415149207
479 0.06329403957022907 1.5624223074379051
480 0.06414614943212146 1.5625920901851407
481 0.0642457615255339 1.5704651816170296
482 0.0637385119627062 1.5700569601043828
483 0.0640168539888344 1.536655928922316
484 0.0656600946388216 1.5667601516712184
485 0.06652286459412932 1.5559842450324417
486 0.06799275374520325 1.5429921470319174
487 0.06874858075235232 1.5380534365597198
488 0.06978334279487648 1.5568499022960687
489 0.07050843095589814 1.5636241881836084
490 0.07078651218546826 1.5699275107570345
491 0.07184169714720354 1.5656830572446352
492 0.0717172105087732 1.533750482307846
493 0.07106654952316752 1.535119876937132
494 0.06986712350870432 1.544699181200108
495 0.07014970631298677 1.535422080149119
496 0.07079053236547897 1.5542694165903848
497 0.0699187823108061 1.527495771986683
498 0.06969195476997267 1.539184051500477
499 0.0701672064490734 1.551086291238078
500 0.07056779043583272 1.5558827538800877
501 0.0716152310192848 1.5637139316302413
502 0.07225370185988869 1.5614313216256932
503 0.07067963355103793 1.5704732760807405
504 0.07078264571732676 1.5286525944724394
505 0.07087228406797134 1.5225633424706202
506 0.07063001205447353 1.5040041250750509
507 0.07088967047234067 1.5060221096854902
508 0.07147119031111018 1.517038799491572
509 0.07109573959536092 1.508834467687113
510 0.07029581129000141 1.4859003483182005
511 0.07109419784076032 1.5067264959704654
512 0.07114866381105506 1.5217902478856953
513 0.06993443039202905 1.5093739159916386
514 0.06998735644466 1.517711707193915
515 0.06987838584871213 1.5142692614255204
516 0.0690695561337176 1.5188664388985913
517 0.06954999502705841 1.4960461746242153
518 0.06945625843575522 1.495531896225898
519 0.06865833063150877 1.4844351137170175
520 0.06906655712100186 1.4861619442936433
521 0.07060981562045249 1.4934212245365048
522 0.07083088089816661 1.479742521651733
523 0.07081317679354934 1.4678473721947096
524 0.06966944845466937 1.4969860253818432
525 0.06979377408589008 1.4991178801295453
526 0.07110022077933643 1.4884170206433749
527 0.07152620397941506 1.477766030968104
528 0.07195273616310678 1.4567454746199366
529 0.07166287967528702 1.4708320692998909
530 0.07210012657484335 1.4709828216253822
531 0.07180662563742153 1.475093215592844
532 0.07189626593784586 1.4977136565043074
533 0.07201838523914832 1.4853398910351332
534 0.07163657575926075 1.4915011829544451
535 0.07243512757435068 1.4870669473319427
536 0.0735090859861127 1.4731604628034438
537 0.07284483820584256 1.4676526334194582
538 0.07232815416707926 1.474240447391771
539 0.07429517150936144 1.4809469261556585
540 0.07423899042900722 1.5058682825316678
541 0.0749768717952559 1.477912885607009
542 0.07475405677427532 1.4795417904058799
543 0.0753871757997197 1.5023884973333503
544 0.07672963733075766 1.4933702125051984
545 0.07716561184934236 1.4682714031834496
546 0.07784496105280757 1.4670030587993268
547 0.07770043498708626 1.4805169780439917
548 0.07839031328506563 1.5044246318863224
549 0.07837152715862061 1.5022781854363272
550 0.08004277594104886 1.4967442411849434
551 0.08127063257082562 1.4965348549618804
552 0.08109748749484604 1.4777668394764036
553 0.080704027224633 1.476492623535193
554 0.08122378721754761 1.4773594091721154
555 0.08252842918273537 1.4863030014264436
556 0.08355728922249005 1.4848474184255083
557 0.08617916126593562 1.4792818329692197
558 0.0861980887946429 1.45317063679712
559 0.0863895483385059 1.4416974382723229
560 0.08737583262549366 1.4278125957819439
561 0.0857393690025851 1.4442622704540997
562 0.08424638867864981 1.4183358085029527
563 0.08416345756407276 1.4263501293589729
564 0.08542328980380522 1.4282725460545997
565 0.08455257351964428 1.4325725184622615
566 0.08533029169085632 1.4390593909215266
567 0.08446764732123595 1.4331308253410122
568 0.08495711055498956 1.4099592849291123
569 0.08522503538243892 1.4297770312148086
570 0.08613466958842668 1.4419653309629212
571 0.0867221833151354 1.4319422898903371
572 0.08696719407866518 1.4394008641918885
573 0.0892432449887181 1.4341235492452187
574 0.08733629881753187 1.4508990589623636
575 0.08762622621882579 1.4466390465195884
576 0.08819957503847134 1.4401298985012578
577 0.0887831832412617 1.4304461230811032
578 0.08802407551397277 1.4169853610406984
579 0.08697689166535195 1.3974023430699947
580 0.08592399390959667 1.407350783864289
581 0.08577750249230154 1.3869823831594033
582 0.08621897300347375 1.3785227955448112
583 0.08465391403919995 1.3873236521860648
584 0.08504095758475748 1.4005371621281941
585 0.0845706712928197 1.4203197241675583
586 0.08517213726250758 1.4277324284539115
587 0.08547824424582035 1.4263764334068516
588 0.0855131751344443 1.4259555756568418
589 0.0849509440899414 1.4073556931995688
590 0.08402366619321833 1.3920359971878014
591 0.08553724235570723 1.3889006550272656
592 0.08476191739694834 1.4079023228901872
593 0.0846991577224447 1.4309936675171628
594 0.08379340810275852 1.433685875068244
595 0.08296234534586248 1.421642341151845
596 0.08138464784854041 1.4157130859157911
597 0.08142879028517064 1.4151556672444106
